latitude,longitude,elevation
52.532232,-117.644687,1395.3
52.532232,-117.644687,1395.3
52.532232,-117.644687,1395.3
52.532232,-117.644687,1395.3
52.532232,-117.644687,1395.3
52.532232,-117.644687,1395.3
52.532217,-117.644649,1395.3
52.532219,-117.644657,1395.3
52.532215,-117.644655,1395.3
52.532212,-117.64467,1395.3
52.532202,-117.644665,1395.3
52.532198,-117.644665,1395.3
52.532192,-117.644644,1395.3
52.532192,-117.644643,1395.3
52.532192,-117.644643,1395.3
52.532192,-117.644643,1395.3
52.532192,-117.644643,1395.3
52.532192,-117.644643,1395.3
52.532186,-117.64462,1395.3
52.532198,-117.644619,1395.3
52.532216,-117.644625,1395.4
52.532225,-117.644634,1395.4
52.532233,-117.644646,1395.4
52.53224,-117.644659,1395.4
52.532248,-117.644672,1395.4
52.532259,-117.644718,1395.4
52.532264,-117.644739,1395.4
52.532268,-117.64476,1395.4
52.532271,-117.644737,1395.4
52.532274,-117.644735,1395.4
52.532278,-117.644733,1395.4
52.532281,-117.644731,1395.4
52.532285,-117.64473,1395.4
52.532288,-117.644728,1395.4
52.532291,-117.644726,1395.4
52.532295,-117.644724,1395.4
52.532298,-117.644723,1395.4
52.532324,-117.644673,1395.4
52.53233,-117.644719,1395.4
52.532334,-117.644738,1395.4
52.532317,-117.644748,1395.4
52.532308,-117.644757,1395.4
52.5323,-117.644766,1395.4
52.5323,-117.644794,1395.4
52.532303,-117.644808,1395.4
52.532307,-117.644821,1395.4
52.532311,-117.644834,1395.4
52.532322,-117.644869,1395.4
52.532335,-117.644863,1395.4
52.532319,-117.644848,1395.4
52.532307,-117.64484,1395.4
52.532296,-117.644831,1395.4
52.532314,-117.644852,1395.4
52.532313,-117.644854,1395.4
52.532311,-117.644855,1395.4
52.532309,-117.644857,1395.4
52.532308,-117.644858,1395.4
52.532306,-117.64486,1395.4
52.532304,-117.644861,1395.4
52.532303,-117.644862,1395.4
52.532301,-117.644864,1395.4
52.532299,-117.644865,1395.4
52.532297,-117.644867,1395.4
52.532296,-117.644868,1395.4
52.532294,-117.644869,1395.4
52.532292,-117.644871,1395.4
52.532291,-117.644872,1395.4
52.532289,-117.644874,1395.4
52.532287,-117.644875,1395.4
52.532286,-117.644877,1395.4
52.532284,-117.644878,1395.4
52.532282,-117.644879,1395.4
52.53228,-117.644881,1395.4
52.532279,-117.644882,1395.4
52.532277,-117.644884,1395.4
52.532281,-117.644877,1395.4
52.532285,-117.644871,1395.4
52.532288,-117.644865,1395.4
52.532292,-117.644858,1395.4
52.532296,-117.644852,1395.5
52.5323,-117.644846,1395.5
52.532304,-117.64484,1395.5
52.532307,-117.644834,1395.5
52.532311,-117.644827,1395.5
52.532315,-117.644821,1395.5
52.532319,-117.644815,1395.5
52.532391,-117.644738,1395.5
52.532246,-117.644881,1395.5
52.532242,-117.644881,1395.5
52.532238,-117.644881,1395.5
52.532234,-117.64488,1395.5
52.53223,-117.64488,1395.5
52.532226,-117.64488,1395.5
52.532222,-117.64488,1395.5
52.532235,-117.644841,1395.5
52.532261,-117.644837,1395.5
52.532288,-117.644834,1395.5
52.532314,-117.64483,1395.5
52.53234,-117.644826,1395.5
52.532366,-117.644822,1395.5
52.532336,-117.644841,1395.6
52.532326,-117.644846,1395.6
52.532289,-117.644861,1395.6
52.532277,-117.644864,1395.6
52.532247,-117.64486,1395.6
52.532238,-117.644859,1395.6
52.532228,-117.644859,1395.6
52.532221,-117.644857,1395.6
52.532221,-117.644857,1395.6
52.532217,-117.644843,1395.6
52.532213,-117.644837,1395.6
52.532192,-117.64483,1395.6
52.532184,-117.64483,1395.6
52.532175,-117.64483,1395.6
52.532176,-117.644828,1395.6
